"","idno","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"15848",1669,4,"IT",2,0,1,22,0,1,7,5,5,16,0,3,10,10,10,5.65685424949238,4.94974746830583
"15849",1420,8,"IT",6,0,1,70,0,8,7,5,2,0,5,10,10,10,10,4.94974746830583,2.82842712474619
"15850",1790,2,"IT",1,0,1,36,0,8,5.66666666666667,4,6,13,1,9,10,10,10,7.07106781186548,7.07106781186548
"15851",1237,7,"IT",3,1,2,23,0,9,7.33333333333333,7,6,13,4,7,10,10,10,5.65685424949238,3.53553390593274
"15852",1993,0,"IT",0,0,2,42,0,8,4.33333333333333,10,2,8,3,0,10,8,10,5.65685424949238,5.65685424949238
"15853",2682,0,"IT",0,0,2,47,0,3,4,5,8,17,2,2,10,10,10,4.94974746830583,4.24264068711928
"15854",2244,3,"IT",7,0,2,61,0,5,6,0,4,17,0,7,10,8,10,3.53553390593274,3.53553390593274
"15855",3103,1,"IT",2,0,1,66,0,3,3,10,4,17,0,7,10,7,9,7.07106781186548,5.65685424949238
"15856",2755,3,"IT",4,0,1,21,1,2,3.66666666666667,5,2,10,5,3,10,8,9,4.94974746830583,4.94974746830583
"15857",3052,6,"IT",5,1,1,56,0,8,7,0,9,13,8,10,10,10,10,2.12132034355964,2.12132034355964
"15858",2928,5,"IT",2,1,1,54,0,3,6.33333333333333,3,9,13,4,10,10,10,10,5.65685424949238,5.65685424949238
"15859",1218,5,"IT",3,0,1,50,0,1,5.66666666666667,3,7,13,5,3,10,10,10,4.94974746830583,5.65685424949238
"15860",2857,7,"IT",3,0,2,66,0,1,3.33333333333333,5,7,19,3,9,10,10,10,4.24264068711928,0.707106781186548
"15861",3255,4,"IT",6,0,1,27,0,7,5.33333333333333,6,4,13,0,8,10,10,10,7.07106781186548,4.24264068711928
"15862",193,2,"IT",3,0,1,80,0,9,2.66666666666667,1,3,5,0,3,9,10,9,5.65685424949238,7.07106781186548
"15863",4221,7,"IT",3,1,1,38,0,5,3.66666666666667,5,6,16,4,9,10,10,8,0.707106781186548,2.12132034355964
"15864",3604,8,"IT",7,0,1,33,0,10,8.66666666666667,10,1,25,7,10,10,9,10,2.12132034355964,3.53553390593274
"15865",3543,4,"IT",4,1,1,34,0,5,5.66666666666667,0,9,18,2,5,10,8,8,3.53553390593274,4.24264068711928
"15866",3478,4,"IT",4,0,2,20,0,6,2.33333333333333,5,2,15,0,3,10,7,9,6.36396103067893,5.65685424949238
"15867",3386,4,"IT",2,0,2,34,0,1,0,10,1,28,1,7,10,10,10,6.36396103067893,5.65685424949238
"15868",3366,0,"IT",0,0,1,50,0,7,2,7,4,9,0,0,10,10,10,7.07106781186548,7.07106781186548
"15869",745,4,"IT",0,0,1,60,0,7,3.66666666666667,0,4,13,5,5,10,10,10,3.53553390593274,3.53553390593274
"15870",3262,7,"IT",3,0,2,37,0,2,6.66666666666667,1,1,13,5,7,10,9,9,5.65685424949238,4.24264068711928
"15871",3256,5,"IT",4,0,2,54,0,9,2,5,4,19,1,8,10,10,10,4.24264068711928,6.36396103067893
"15872",3210,3,"IT",2,0,1,18,0,2,5,5,7,13,3,10,10,10,10,5.65685424949238,5.65685424949238
"15873",1728,1,"IT",4,0,1,56,0,6,5.66666666666667,5,10,14,8,9,10,10,10,0,4.94974746830583
"15874",3175,8,"IT",4,1,1,56,0,8,4.33333333333333,5,7,13,8,8,10,8,8,3.53553390593274,2.12132034355964
"15875",3163,6,"IT",5,1,1,39,0,7,6.66666666666667,5,6,21,9,9,10,10,10,3.53553390593274,2.82842712474619
"15876",757,9,"IT",4,0,1,73,0,8,1,8,2,13,4,4,10,10,10,7.07106781186548,5.65685424949238
